source_file,model,question_id,n_A,n_B,anchor_A,anchor_B,anchor_delta,anchor_token_count_A,anchor_token_count_B,anchor_parse_unambiguous,trimmed_mean_A,trimmed_mean_B,response_delta,direction_aligned,relative_response_shift
results_openrouter_claud1.csv,anthropic/claude-3-haiku,1,28,28,399.0,999.0,600.0,2,1,False,888.2857142857143,1077.5714285714287,189.28571428571433,True,0.192573214155948
results_openrouter_claud1.csv,anthropic/claude-3-haiku,10,28,28,99.23,102.23,3.0,1,1,True,99.28357142857143,102.23,2.9464285714285694,True,0.029242979026580962
results_openrouter_claud1.csv,anthropic/claude-3-haiku,11,28,28,20.0,24.0,4.0,1,1,True,18.0,20.0,2.0,True,0.10526315789473684
results_openrouter_claud1.csv,anthropic/claude-3-haiku,12,28,28,2228.0,3928.0,1700.0,1,1,True,2228.0,3928.0,1700.0,True,0.5523066926575698
results_openrouter_claud1.csv,anthropic/claude-3-haiku,13,28,28,60.31,57.81,-2.5,1,1,True,60.31,58.11464285714286,-2.195357142857141,True,0.03707601880641393
results_openrouter_claud1.csv,anthropic/claude-3-haiku,14,28,28,163.48,169.68,6.200000000000017,1,1,True,164.3760714285714,168.22857142857143,3.8525000000000205,True,0.02316564174754896
results_openrouter_claud1.csv,anthropic/claude-3-haiku,15,28,28,62.6615,62.0985,-0.5629999999999953,1,1,True,62.53434285714286,62.127117857142856,-0.40722500000000394,True,0.006533294214052757
results_openrouter_claud1.csv,anthropic/claude-3-haiku,16,28,28,10.0,14.0,4.0,1,1,True,9.285714285714286,13.678571428571429,4.392857142857142,True,0.3825816485225505
results_openrouter_claud1.csv,anthropic/claude-3-haiku,17,28,28,10.0,46.0,36.0,2,2,False,27.142857142857142,46.0,18.857142857142858,True,0.515625
results_openrouter_claud1.csv,anthropic/claude-3-haiku,18,28,28,11.0,20.0,9.0,1,1,True,13.392857142857142,18.0,4.607142857142858,True,0.2935153583617748
results_openrouter_claud1.csv,anthropic/claude-3-haiku,19,28,28,4623075.0,5583663.0,960588.0,2,2,False,4628569.642857143,5583663.0,955093.3571428573,True,0.18704888353887808
results_openrouter_claud1.csv,anthropic/claude-3-haiku,2,28,28,188.23,186.14,-2.0900000000000034,1,1,True,187.93035714285716,186.9807142857143,-0.9496428571428623,True,0.005065963261764008
results_openrouter_claud1.csv,anthropic/claude-3-haiku,20,28,28,50.0,68.0,18.0,1,1,True,71.5,64.0,-7.5,False,0.11070110701107011
results_openrouter_claud1.csv,anthropic/claude-3-haiku,21,28,28,152.0,101.0,-51.0,2,2,False,148.25,126.0,-22.25,True,0.16226071103008205
results_openrouter_claud1.csv,anthropic/claude-3-haiku,22,28,28,334.0,373.0,39.0,3,3,False,329.34285714285716,368.57142857142856,39.2285714285714,True,0.11241658820158014
results_openrouter_claud1.csv,anthropic/claude-3-haiku,23,28,28,30.0,20.0,-10.0,1,1,True,27.0,23.0,-4.0,True,0.16
results_openrouter_claud1.csv,anthropic/claude-3-haiku,24,28,28,7.19,7.33,0.13999999999999968,1,1,True,7.259285714285714,7.33,0.07071428571428573,True,0.009694002447980417
results_openrouter_claud1.csv,anthropic/claude-3-haiku,25,28,28,3.0,45.0,42.0,2,2,False,24.428571428571427,45.17857142857143,20.750000000000004,True,0.5962031811185224
results_openrouter_claud1.csv,anthropic/claude-3-haiku,26,28,28,270.0,151.0,-119.0,2,2,False,4.0,3.0,-1.0,True,0.2857142857142857
results_openrouter_claud1.csv,anthropic/claude-3-haiku,27,28,28,28.0,21.0,-7.0,2,2,False,24.928571428571427,22.821428571428573,-2.107142857142854,True,0.08825729244577399
results_openrouter_claud1.csv,anthropic/claude-3-haiku,28,28,28,1.3101,1.3271,0.016999999999999904,1,1,True,1.3215,1.3215,0.0,False,0.0
results_openrouter_claud1.csv,anthropic/claude-3-haiku,29,28,28,20929.0,29287.0,8358.0,2,2,False,20929.0,29287.0,8358.0,True,0.3328819499761032
results_openrouter_claud1.csv,anthropic/claude-3-haiku,3,28,28,139.0,123.0,-16.0,2,2,False,120.0,120.0,0.0,False,0.0
results_openrouter_claud1.csv,anthropic/claude-3-haiku,30,28,28,81.0,56.0,-25.0,1,1,True,72.82142857142857,61.642857142857146,-11.178571428571423,True,0.1662682602921646
results_openrouter_claud1.csv,anthropic/claude-3-haiku,31,28,28,326.0,343.55,17.55000000000001,1,1,True,338.33178571428573,339.87607142857144,1.5442857142857065,True,0.0045540189427808984
results_openrouter_claud1.csv,anthropic/claude-3-haiku,32,28,28,42991006.0,10973333.0,-32017673.0,3,3,False,38457142.85714286,24448980.75,-14008162.107142858,True,0.44536720127998036
results_openrouter_claud1.csv,anthropic/claude-3-haiku,33,28,28,21.79,24.52,2.7300000000000004,1,1,True,21.857142857142858,25.0,3.1428571428571423,True,0.13414634146341461
results_openrouter_claud1.csv,anthropic/claude-3-haiku,34,28,28,43.0,11.0,-32.0,2,2,False,43.0,34.857142857142854,-8.142857142857146,True,0.20917431192660557
results_openrouter_claud1.csv,anthropic/claude-3-haiku,35,28,28,4.0,73.0,69.0,2,2,False,4.0,73.0,69.0,True,1.7922077922077921
results_openrouter_claud1.csv,anthropic/claude-3-haiku,36,28,28,107.0,0.0,-107.0,2,2,False,107.0,133.25,26.25,False,0.21852237252861603
results_openrouter_claud1.csv,anthropic/claude-3-haiku,37,28,28,32.0,7.0,-25.0,2,2,False,32.0,7.0,-25.0,True,1.2820512820512822
results_openrouter_claud1.csv,anthropic/claude-3-haiku,38,28,28,12.0,27.0,15.0,1,1,True,18.357142857142858,20.642857142857142,2.2857142857142847,True,0.11721611721611716
results_openrouter_claud1.csv,anthropic/claude-3-haiku,39,28,28,38.62,37.51,-1.1099999999999994,1,1,True,38.38,38.09357142857143,-0.2864285714285728,True,0.0074909165631451
results_openrouter_claud1.csv,anthropic/claude-3-haiku,4,28,28,79.0,57.0,-22.0,1,1,True,75.0,69.53571428571429,-5.464285714285708,True,0.07561156412157145
results_openrouter_claud1.csv,anthropic/claude-3-haiku,40,28,28,147.0,337.0,190.0,2,2,False,3.0,4.0,1.0,True,0.2857142857142857
results_openrouter_claud1.csv,anthropic/claude-3-haiku,41,28,28,627.0,1012.0,385.0,1,1,True,884.8214285714286,1017.8571428571429,133.03571428571433,True,0.13984045049272645
results_openrouter_claud1.csv,anthropic/claude-3-haiku,42,28,28,292.0,319.0,27.0,3,3,False,280.2142857142857,283.14285714285717,2.928571428571445,True,0.01039685558514016
results_openrouter_claud1.csv,anthropic/claude-3-haiku,43,28,28,1692.48,1725.0,32.51999999999998,1,1,True,1711.1896428571429,1713.7417857142857,2.552142857142826,True,0.0014903322360572625
results_openrouter_claud1.csv,anthropic/claude-3-haiku,44,28,28,630.0,667.0,37.0,3,3,False,636.9642857142857,11.0,-625.9642857142857,False,1.9320950228738356
